EngineeringTopic,OwnerReport,HumanReadablePurpose,TopLevelCodeEntry,RepositoryBranch,SupportingFunctions,InputArtifacts,OutputArtifacts,FiguresProduced,ReportLinkPresent,LinkQuality,ExecutionStatus,MissingNavigation,RecommendedChange,Priority,Notes
Illuminator selection,01A,"Screen candidate tower/channel and geometry assumptions.",C:\Users\pwilliam\OneDrive - MathWorks\Documents\SFTT\Customers\FlightTest\LinkBudget\FlightTest_Bistatic_RadarAndCommsAnalysis.mlx,Current local working tree,"Radio_Tower_List.txt and saved RabbitEars parser","Tower lists, geography, candidate channels",Modeled candidate cases,01A maps,Release metadata link,Strong,Inspected only,,Record release-local code link and execution status; do not claim execution.,P1,Code was navigated from inventories and project artifacts; no execution is claimed.
Link budget,01A,"Model historical target/direct-path conditions.",C:\Users\pwilliam\OneDrive - MathWorks\Documents\SFTT\Customers\FlightTest\LinkBudget\FlightTest_Bistatic_RadarAndCommsAnalysis.mlx,Current local working tree,"helperPathlossOverTerrain.m and helperRadarCoverageTargetGrid.m","Historical transmitter/target assumptions",Link-budget outputs,01A modeled coverage,Release metadata link,Strong,Inspected only,,Record release-local code link and execution status; do not claim execution.,P1,Code was navigated from inventories and project artifacts; no execution is claimed.
Site Viewer analysis,01A,"Inspect local buildings and terrain context.",C:\Users\pwilliam\OneDrive - MathWorks\Documents\SFTT\Customers\FlightTest\LinkBudget\AppleHill_CustomizeBuildingsForRayTracingAnalysisExample.mlx,Current local working tree,"applehill.osm","Apple Hill OSM geometry",Geometry visualization,01A geometry image,Release metadata link,Strong,Inspected only,,Record release-local code link and execution status; do not claim execution.,P2,Code was navigated from inventories and project artifacts; no execution is claimed.
RF budget,01B,"Reason about cascade losses, headroom, and component choices.",C:\Users\pwilliam\OneDrive - MathWorks\Documents\SFTT\Customers\FlightTest\RFBudget\RFBudget_Newton.m,Current local working tree,"RFBudget_Comparative_Analysis.m and vendor S2P","Historical signal cases and component data",Cascade comparisons,01B cascade figures,Release metadata link,Strong,Inspected only,,Record release-local code link and execution status; do not claim execution.,P1,Code was navigated from inventories and project artifacts; no execution is claimed.
Hardware characterization,02,"Inspect installed-chain and qualification context.",C:\Users\pwilliam\OneDrive - MathWorks\Documents\SFTT\Customers\FlightTest\SystemPrechecks\RFBudget\RFBudgetModel_Newton.m,Current local working tree,"Hardware photos, hardwareCheck.md, and manifests","Hardware records and collection metadata",Qualification evidence,02 hardware figures,Release metadata link,Strong,Referenced only,,Record release-local code link and execution status; do not claim execution.,P1,Code was navigated from inventories and project artifacts; no execution is claimed.
Coordinated collection,02,"Coordinate collection and package creation.",C:\Users\pwilliam\OneDrive - MathWorks\Documents\SFTT\Customers\FlightTest\TestSetupTesting\runCoordinatedHDTVCapture.m,Current local working tree,"runLocalHDTVCapture.m and synchronization helpers","N320, ADS-B, GPS, and capture configuration",Capture package,02 package/replay figures,Release metadata link,Strong,Referenced only,,Record release-local code link and execution status; do not claim execution.,P1,Code was navigated from inventories and project artifacts; no execution is claimed.
Synthetic target generation,02A,"Create declared synthetic truth and real-background echo cases.",C:\Users\pwilliam\agenticProjects\flightTest_SynthDataBranch\SyntheticHDTVSimulation\generateRealBackgroundSyntheticSuite.m,Current local working tree,"helperSyntheticGenerateTruth.m and echo helpers","Declared trajectory, background, and echo conditions",Synthetic package and truth,02A declaration/placement,Release metadata link,Strong,Inspected only,,Record release-local code link and execution status; do not claim execution.,P1,Code was navigated from inventories and project artifacts; no execution is claimed.
Package generation,02A,"Build reviewable synthetic packages and manifests.",C:\Users\pwilliam\agenticProjects\flightTest_SynthDataBranch\SyntheticHDTVSimulation\generateSyntheticHDTVSession.m,Current local working tree,"seedBackedSyntheticHDTVSessionWalkthrough.m","Seed or real-background configuration",Manifest and validation artifacts,02A validation figures,Release metadata link,Strong,Inspected only,,Record release-local code link and execution status; do not claim execution.,P2,Code was navigated from inventories and project artifacts; no execution is claimed.
Pipeline entry point,03,"Form passive maps under gate controls.",C:\Users\pwilliam\agenticProjects\PassiveBistaticRestart\runG4PassiveBaselineMap.m,Current local working tree,"G1-G3 helpers and G4 verification","Dual-channel package and gate configuration",Passive maps and gate records,03 gate figure,Release metadata link,Strong,Inspected only,,Record release-local code link and execution status; do not claim execution.,P1,Code was navigated from inventories and project artifacts; no execution is claimed.
R1 through R5A,04,"Diagnose and evaluate map-rate/cancellation remediation.",C:\Users\pwilliam\agenticProjects\PassiveBistaticRestart\runG4RMapRateMatrix.m,Current local working tree,"helperAnalyzeG4MapRateValidity.m and cancellation helpers","Frozen R4 contract and paired conditions",R1-R5A metrics and decisions,04 recovery figures,Release metadata link,Strong,Inspected only,,Record release-local code link and execution status; do not claim execution.,P1,Code was navigated from inventories and project artifacts; no execution is claimed.
G4-R atlas generation,05,"Run the close-target atlas/recovery study.",C:\Users\pwilliam\agenticProjects\PassiveBistaticRestart\runG4RCloseTargetAtlasRecoveryStudy.m,Current local working tree,"helperEvaluateG4RCloseTargetCondition.m and atlas manifest helpers","Atlas condition manifest and accepted compact evidence",Atlas outcomes and walkthrough,05 atlas figures,Release metadata link,Strong,Inspected only,,Record release-local code link and execution status; do not claim execution.,P1,Code was navigated from inventories and project artifacts; no execution is claimed.
